animal,year,age,sex,survival,n_calves_born,slaughtered,birth_mass,birth_date

211,1969,0,f,0,0,0,4.8,134

148,1970,0,f,0,0,0,4.5,134

150,1970,0,f,0,0,0,4.3,135

154,1970,0,f,0,0,0,6.5,135

155,1970,0,f,0,0,0,6.3,135

172,1970,0,f,0,0,0,5.5,135

173,1970,0,f,1,0,0,5,137

178,1970,0,f,0,0,0,5,133

179,1970,0,f,1,0,0,5.8,139

181,1970,0,f,0,0,0,5.5,134

184,1970,0,f,0,0,0,6.5,133

186,1970,0,f,1,0,0,5.5,136

187,1970,0,f,0,0,0,6.9,142

189,1970,0,f,1,0,0,4,141

199,1970,0,f,0,0,0,3.6,140

202,1970,0,f,0,0,0,5.9,133

203,1970,0,f,1,0,0,5.8,140

222,1970,0,f,1,0,0,5.5,133

149,1971,0,f,1,0,0,4.3,136

156,1971,0,f,1,0,0,6.3,137

158,1971,0,f,0,0,0,3.9,139

161,1971,0,f,1,0,0,4.4,147

164,1971,0,f,1,0,0,4.2,147

166,1971,0,f,1,0,0,4,143

170,1971,0,f,0,0,0,4.4,146

173,1971,1,f,1,0,0,5,137

179,1971,1,f,1,0,0,5.8,139

180,1971,0,f,1,0,0,3,146

182,1971,0,f,1,0,0,4.4,148

185,1971,0,f,1,0,0,5.3,136

186,1971,1,f,1,0,0,5.5,136

189,1971,1,f,1,0,0,4,141

192,1971,0,f,1,0,0,5,138

193,1971,0,f,0,0,0,4,153

197,1971,0,f,1,0,0,3.9,141

201,1971,0,f,1,0,0,5.8,143

203,1971,1,f,0,0,0,5.8,140

204,1971,0,f,0,0,0,5,144

209,1971,0,f,1,0,0,3.4,152

214,1971,0,f,0,0,0,4.1,147

222,1971,1,f,1,0,0,5.5,133

223,1971,0,f,1,0,0,5.6,139

149,1972,1,f,1,0,0,4.3,136

152,1972,0,f,0,0,0,4,146

156,1972,1,f,1,0,0,6.3,137

157,1972,0,f,0,0,0,5.8,140

159,1972,0,f,0,0,0,5.6,150

161,1972,1,f,1,0,0,4.4,147

162,1972,0,f,0,0,0,4.6,151

163,1972,0,f,0,0,0,4.4,143

164,1972,1,f,1,0,0,4.2,147

166,1972,1,f,1,0,0,4,143

171,1972,0,f,0,0,0,4.6,145

173,1972,2,f,1,0,0,5,137

179,1972,2,f,1,0,0,5.8,139

180,1972,1,f,1,0,0,3,146

182,1972,1,f,1,0,0,4.4,148

183,1972,0,f,0,0,0,3.5,145

185,1972,1,f,0,0,0,5.3,136

186,1972,2,f,1,0,0,5.5,136

189,1972,2,f,0,0,0,4,141

190,1972,0,f,0,0,0,3.6,148

192,1972,1,f,1,0,0,5,138

197,1972,1,f,0,0,0,3.9,141

